description,points
"Translucent in color, silky in the mouth, this Mendocino-grown Pinot shows ripe, forward flavors and crisp acidity. You'll find pie-filling cherries and rhubarb, with a cola and root beer soda finish.",85
"On the palate, this wine is rich and complex, with flavors of dried cherry, cola, licorice, red currant and sandalwood that finish bone dry. It has lots of acidity and some sandpaper-like tannins. This should begin to develop bottle-age notes after 2016.",92
"The producer blends 57% Chardonnay from the Maldonado Vineyard with 39% Sauvignon Blanc and 4% Viognier for this fresh, floral white. On the palate, apple and lemon flavors are buttressed by a core of laser-like acidity. A fresh pear note lasts long into the finish, proving the wine's ability to be both creamy and crisp.",92
"Pure Baga in all its glory, packed with dry and dark tannins and a brooding character that is mitigated by the rich dark plum and blackberry jelly flavors. It's a wine that is probably at its peak, still with its tannins and structure although now with rich fruits and intense final acidity. Drink now and until 2022.",93
"Think of Subsídio as a contribution rather than as a subsidy, says the producer—in this case a contribution to a meal. The wine is soft and fully ripe. It has generous tannins and black fruits. The rich wine, with its juicy aftertaste, is ready to drink.",89
"Watermelon, cantaloupe and peach aromas are just as they should be, while the palate is whole, fresh and full of tangerine and nectarine. Compact, defined and complete, with a smooth, light finish. Nothing miraculous but great for summer sipping.",87
"There is an important element of wood here, along with a ripe, creamy texture. By contrast, the structure is mineral, lifted with grapefruit flavors. The wood supports this fruit, giving a complete, mouth filling wine.",93
"Fresh and straightforward on the nose, with tropical fruit aromas. The palate is pulpy but good, with flavors of fruit punch and melon. Turns a little sweet and pithy on the finish, but holds it together. Perfectly good for the price.",85
"Peach and a hint of fresh lettuce are the key aromas to a basic bouquet. This feels solid but pithy, while orange and other generic citrus flavors turn slightly bitter on the finish.",86
"This wine's incredibly distinct nose of pure fruit shows plump raspberries alongside delicate grapeseed, a pinch of baking spice and a whiff of yeast. Though the wine is light in color and frame, the palate shows lots of earth, tobacco smoke, cherry pits, bouquet garni and rosemary, with refreshing wild berry fruit.",94
"Pomegranate and cranberry aromas gain complexity from wet slate and wild-thyme touches. The palate blends tangy fruit with earthy herbs, showing sage, dill, Earl Gray tea and fennel against a dried berry backdrop.",90
"With 20 acres—the smallest of the Margaux classified growths—Ferrière has produced a 2010 of considerable weight and structure. It's dark and serious, with a solid flavor of black plum skin and dense acidity on the finish. Keep this wine for at least seven years for it to start softening.",91
"From the Kellerberg vineyard, this is a powerfully rich wine, with its cream and nutmeg flavors complemented by creamed baked apples. There is strong pepper and spice character here.",91
This is both fruity and deliciously crisp. It has the light touch of the vintage—red fruits attractively balancing with the acidity and the tangy lemon edge. The aftertaste is both fruity and herbal. Drink now.,90
"Still young and fruity, this wine is totally integrated, harmoniously blending the red fruits with a tight texture and fresh acidity. Although it is drinkable now, it will benefit from bottle age, so best drink from 2017.",91
"What a clean, pretty fruit-and-flowers nose this has, and theflavors don't disappoint. Melon and citrus dominate, but it's all ripe fruit and not the least bit lean. The tail end is lengthy and layered, if maybe a bit chalky. But all in all this wine delivers the goods with a smile.",90
"Toast and mocha scents and flavors surround a core of tart red berries. More barrel influence comes out as the wine breathes—clove, spice and smoke—as it rolls into a tightly-wrapped, tannic finish. Give this a lot of aeration, or tuck it away for another five or six years.",91
"This limestone-reared wine aspires to be a Chardonnay leader in Chile, but so far its track record lags behind its desires. This version smells minerally like a multivitamin, but not fruity. A blocky palate is oily in texture, while this tastes briny and of sour citrus and stone fruits. A savory finish tastes oaky and muddled.",83
"Black licorice and orange zest star in this high-toned wine from a singular clone. It's moderate in acidity, with a strong presence of fresh lemon that lingers through the finish.",90
"The aromas of fresh herbs, tobacco and barrel spice seem quite locked-up at present on this dark purple-colored wine. The full-bodied dark fruit flavors and lightly chewy tannins show a mix of grace and power.",91
"Aromas of crushed dark-skinned berry, violet, clove and a hint of chopped herb lead the nose. The lean palate offers raw raspberry, sour cherry and ground pepper alongside firm tannins. A note of bitter walnut closes the finish.",87
"This complex and distinctive wine is dark and brooding, and reveals itself reluctantly through an elaborate overlay of well-toasted oak. Below all that char and vanilla is polished blackcurrant and cassis fruit. The sweet tannins and weight of the wine are pedigreed, but there's a rawness that demands cellaring. Best beyond 2008.",92
"Mortar and a taste of black-olive tapenade ride softly layered waves of leathery tannin and peppery clove in this richly balanced wine that features tension between notes of cedar and cured meat. Focused and full bodied, it'll do well in the cellar; drink now through 2023.",93
"An assertive oak influence gives this full-bodied wine a cedar and pencil shavings aroma. On the palate ripe black cherry flavors mingle with more spicy, perfumed oak elements. It's quite tannic, but the ripe fruit and oak seem to balance out the astringency in a way that will make it a great match with rich, meaty dishes.",90
"Dominated by Merlot and Cabernet Franc, typical of this region to the east of Saint-Emilion, this is a ripe, smooth wine, its tannins spread through the fresh red fruit flavors. There's lively acidity here as well, a wine whose tannins promise aging.",90
"With its great richness, the wine is opulent, generous and full of powerful fruits. The wood aging and the toastiness have done nothing to diminish the yellow fruit and crisp apple flavors. It's an impressive and concentrated wine that will age for many years. Drink from 2020.",96
"Expansive, round and supple in the mouth, this Shiraz features lush raspberry fruit, framed by vanilla oak. There's a tart edge to the finish, providing a solid sense of balance to the lingering warm, chocolaty notes. Drink now.",90
"Foresty plum and berry aromas are spunky and more high toned than dense. This Malbec is fresh with smacking tannins. Lightly herbal berry flavors convey an Old World sense, while this finishes with developed spice and oaky maple notes. Drink through 2024.",91
"This southern Italian blend of Gaglioppo and Cabernet Sauvignon opens with soft aromas of ripe blackberry, espresso, dark chocolate and spice. There's a note of sweet cherry on the finish, followed by smoothly polished tannins. The wine is elegant and clean.",90
"There's a pretty floral character to the bouquet of this wine—think rose and honeysuckle—framing the ripe peach, apricot and orange fruit tones. Those notes continue through to the medium-weight palate, with ample acidity to cut through the rich fruit flavors and slight viscosity of the finish.",86
"Delicious and succulent, a gigantic Zinfandel. Impresses for the powerful ripeness of the blackberry, plum and cherry fruit, accented with waves of smoky wood, cocoa and Asian spices. The tannins are rich and strong. Will age for a long time, gradually losing density and becoming softer and sweeter.",90
"For sheer voluptuous pleasure, this is one of Williams Sel-yem's best 2010s. It just floods the mouth with flavors of raspberry and cherry Pop-Tarts, with the most wonderful array of spices and a tender use of oak. Hard to keep from drinking it now, but it should age well over the next 8–10 years.",95
Touches of rum cake and licorice lend this 60-40 blend of Cabernet Sauvignon and Merlot an impression of intensity and persistence. The wine delivers flavors of blackberry and candied cherry.,89
"This is a ripe wine with prune, raisin, coconut and cedar-sawdust aromas. Dense in the mouth, with giant tannins, this dry-farmed bear features sun-baked, slightly stewed flavors of berry fruits along with minty oak. A hard-driving finish is woody and tannic. Drink through 2018.",88
"Aged more than two years in air-dried French oak, this is classic Oakville Cabernet Sauvignon, velvety and plush. It boasts juicy blackberry and black cherry fruit aromas and flavors, with weighty oak and a mix of coconut flake and chocolate that linger on the finish.",93
"Powerful and structured, this offers both the weight and the potential for rich fruit. Dominated at this stage by tannins and wood-influenced flavors, the black plum note is likely to come through in the next year. The acidity is crisp, and a bitter cherry character flavors the finish.",90
"Initially this smells oaky, pasty and lactic, but with time it opens to reveal blackberry and cassis aromas. The palate is lively and offers healthy acidic cut. Flavors of creamy berry, oak and plum end with a creamy feeling and lightly lactic tasting finish. Overall this is a polished wine with minimal varietal character.",88
"This bright passito dessert wine delivers a steady stream of apricot, honey, almond and candy-like aromas. The wine is thick, syrupy and ends with a fresh note of citrus zest.",89
